customer_tweet_id,customer_author_id,customer_created_at,customer_text,support_reply_tweet_id,support_reply_author_id,support_reply_created_at,support_reply_text,document_text
2,115712,Tue Oct 31 22:11:45 +0000 2017,@sprintcare and how do you propose we do that,,,,,Customer: @sprintcare and how do you propose we do that
3,115712,Tue Oct 31 22:08:27 +0000 2017,@sprintcare I have sent several private messages and no one is responding as usual,1.0,sprintcare,Tue Oct 31 22:10:47 +0000 2017,@115712 I understand. I would like to assist you. We would need to get you into a private secured link to further assist.,"Customer: @sprintcare I have sent several private messages and no one is responding as usual
Support: @115712 I understand. I would like to assist you. We would need to get you into a private secured link to further assist."
5,115712,Tue Oct 31 21:49:35 +0000 2017,@sprintcare I did.,4.0,sprintcare,Tue Oct 31 21:54:49 +0000 2017,@115712 Please send us a Private Message so that we can further assist you. Just click ‘Message’ at the top of your profile.,"Customer: @sprintcare I did.
Support: @115712 Please send us a Private Message so that we can further assist you. Just click ‘Message’ at the top of your profile."
8,115712,Tue Oct 31 21:45:10 +0000 2017,@sprintcare is the worst customer service,6.0,sprintcare,Tue Oct 31 21:46:24 +0000 2017,"@115712 Can you please send us a private message, so that I can gain further details about your account?","Customer: @sprintcare is the worst customer service
Support: @115712 Can you please send us a private message, so that I can gain further details about your account?"
12,115713,Tue Oct 31 22:04:47 +0000 2017,@sprintcare You gonna magically change your connectivity for me and my whole family ? 🤥 💯,11.0,sprintcare,Tue Oct 31 22:10:35 +0000 2017,"@115713 This is saddening to hear. Please shoot us a DM, so that we can look into this for you. -KC","Customer: @sprintcare You gonna magically change your connectivity for me and my whole family ? 🤥 💯
Support: @115713 This is saddening to hear. Please shoot us a DM, so that we can look into this for you. -KC"
16,115713,Tue Oct 31 20:00:43 +0000 2017,@sprintcare Since I signed up with you....Since day 1,15.0,sprintcare,Tue Oct 31 20:03:31 +0000 2017,"@115713 We understand your concerns and we'd like for you to please send us a Direct Message, so that we can further assist you. -AA","Customer: @sprintcare Since I signed up with you....Since day 1
Support: @115713 We understand your concerns and we'd like for you to please send us a Direct Message, so that we can further assist you. -AA"
18,115713,Tue Oct 31 19:56:01 +0000 2017,"@115714 y’all lie about your “great” connection. 5 bars LTE, still won’t load something. Smh.",17.0,sprintcare,Tue Oct 31 19:59:13 +0000 2017,"@115713 H there! We'd definitely like to work with you on this, how long have you been experiencing this issue? -AA","Customer: @115714 y’all lie about your “great” connection. 5 bars LTE, still won’t load something. Smh.
Support: @115713 H there! We'd definitely like to work with you on this, how long have you been experiencing this issue? -AA"
20,115715,Tue Oct 31 22:03:34 +0000 2017,"@115714 whenever I contact customer support, they tell me I have shortcode enabled on my account, but I have never in the 4 years I've tried https://t.co/0G98RtNxPK",19.0,sprintcare,Tue Oct 31 22:10:10 +0000 2017,@115715 Please send me a private message so that I can send you the link to access your account. -FR,"Customer: @115714 whenever I contact customer support, they tell me I have shortcode enabled on my account, but I have never in the 4 years I've tried https://t.co/0G98RtNxPK
Support: @115715 Please send me a private message so that I can send you the link to access your account. -FR"
22,115716,Tue Oct 31 22:16:48 +0000 2017,@Ask_Spectrum Would you like me to email you a copy of one since Spectrum is not updating your training?,25.0,Ask_Spectrum,Tue Oct 31 22:18:28 +0000 2017,"@115716 Our department is part of the corporate office.  If you're particular area has gone to this format, we were unawa... https://t.co/P7XCmTzPQj","Customer: @Ask_Spectrum Would you like me to email you a copy of one since Spectrum is not updating your training?
Support: @115716 Our department is part of the corporate office.  If you're particular area has gone to this format, we were unawa... https://t.co/P7XCmTzPQj"
26,115716,Tue Oct 31 22:19:56 +0000 2017,@Ask_Spectrum I received this from your corporate office would you like a copy?,27.0,Ask_Spectrum,Tue Oct 31 22:21:26 +0000 2017,@115716 No thank you. ^JK,"Customer: @Ask_Spectrum I received this from your corporate office would you like a copy?
Support: @115716 No thank you. ^JK"
